Title,Label
 10kg gold compound seized at Kozhikode airport ,Crime
 11 Bangladeshis detained in Ahmedabad ,Crime
 11 held for cheating BE & MBBS seat aspirants ,Crime
" 12 held, fake call centre busted in Delhi's Rohini ",Crime
 15 cases of fraud in India against 'Bunty-Babli' arrested in London ,Crime
 15 Indian-origin MPs in new UK Parliament ,Crime
" 15-yr-old stages own kidnapping, demands 50 crore ransom: Meerut Police ",Crime
 16% rise in crimes against Dalit women in Rajasthan this year ,Crime
 16-year-old impregnated by 21-year-old cousin delivers baby in Ahmedabad ,Crime
 17 arrested for running fake call centre in west Delhi ,Crime
 17% rise in IPC crimes in Maharashtra in 2018: CID report ,Crime
 18 states on board to set-up fast track courts under Nirbhaya Fund ,Crime
" 18% drop in crime cases in U’khand, but those against SCs nearly doubled: NCRB report ",Crime
" 180 custodial deaths in Gujarat in 16 years, no cop punished ",Crime
 190 turtles recovered from illegal possession ,Crime
 2 arrested for keeping live corals in fish tanks ,Crime
" 2 arrested for posing as UK tax department officials, running fake call centre in central Delhi ",Crime
" 2 bank employees in Agra open 1,000 fake accounts, swindle Rs 40 lakh scholarship money ",Crime
 2 Chinese men who stole a diamond from gem expo held at Mumbai airport ,Crime
 2 minors abducted from Islam Ganj ,Crime
" 2 more held for abducting, parading woman in east Delhi ",Crime
 2.12 lakh Indians turned repeat offenders in 2020 ,Crime
" 2.3kg gold hidden in camshaft seized, one from Haryana held ",Crime
" 20 people arrested, over 150 booked in Pakistan for attack on Hindu temple ",Crime
" 20% spike in city crimes last year, but heinous offences down: NCRB ",Crime
 2018: On an average one person killed every day in Goa road accidents in tourist months ,Crime
 2020 saw least incidents of petty crimes in 21st century ,Crime
 22 from same Kolkata locality lose over Rs 5 lakh to ATM fraud in a day ,Crime
 22-acre CSI church plot leased out illegally in Chikkaballapura ,Crime
" 22-year-old arrested for nude video calling, blackmailing over 500 women ",Crime
 23 Logicash staff under lens for siphoning off Rs 2.3 crore ,Crime
 23 Logicash staff under lens for siphoning off Rs 2.3 crore ,Crime
 23 more named in Bitcoin job fraud ,Crime
 23-year-old homeless woman raped by 2 in south Delhi ,Crime
" 25% interim relief to victims of acid attack, rape, murder, mob lynching ",Crime
 26/11: Biden admin proposes US court to extradite Rana to India ,Crime
" 27% increase in drug-related suicides in Andhra Pradesh, says NCRB report ",Crime
 28 women rescued from ‘couples only’ bar providing partners for single men ,Crime
 28 women rescued from ‘couples only’ bar providing partners for single men ,Crime
" 28% surge in crimes in 2020, fuelled by violation of Covid norms ",Crime
 3 minors held for rape each day in 2019 ,Crime
" 3.17 lakh cyber crimes in India in just 18 months, says government ",Crime
 312 vishing call complaints reported this year in Pune ,Crime
 31-year-old teacher shot dead outside school in Kharar ,Crime
" 32,563 daily wagers, 10,281 in farming sector killed self in 2019: NCRB ",Crime
 32kg gold seized from Vande Bharat passengers in Jaipur ,Crime
 32kg gold seized from Vande Bharat passengers in Jaipur ,Crime
 34 intellectuals write to Karnataka CM Basavaraj Bommai against hate crime ,Crime
 34 intellectuals write to Karnataka CM Basavaraj Bommai against hate crime ,Crime
" 34kg heroin, arms found near Pakistan border ",Crime
" 35 years on, Supreme Court plugs gap that aided dowry death accused ",Crime
 35% suicides in Gujarat were of daily wagers ,Crime
 39 lakh deaths in last 12 yrs were avoidable: Govt data ,Crime
 39 lakh deaths in last 12 yrs were avoidable: Govt data ,Crime
 392 sims deactivated by cyber crime in Haryana: ADGP Navdeep Singh Virk ,Crime
 4 Bangladeshi nationals involved in over 100 burglaries across India held: Police ,Crime
" 4 IPS officers promoted, Soni is new DG crime ",Crime
 4 sensitive turtle zones identified in UP ,Crime
" 4.5 crore pending cases, 50% judges missing - Why justice in India takes so long ",Crime
" 4.96 lakh traffic accidents, 1.8 lakh deaths in 2015: NCRB ",Crime
 41% of Indian women face violence before the age of 19: Survey ,Crime
" 427 farmers in Tamil Nadu committed suicide in 2019, increase of 6% ",Crime
" 47,000 cases of crime against SC/ST registered in 2016: Govt ",Crime
 48 accidental deaths every hour in 2019: NCRB ,Crime
" 48 hours after SC grants bail to 13, Agra jail awaits orders via post ",Crime
 48 lakh cases pending in Maharashtra: Justice Chandrachud ,Crime
 49 crooks took away Rs 1.51 crore from retired cop in Vadodara ,Crime
" 49 dignitaries write to PM against rise in hate crimes, targeting of dissenters ",Crime
" 5 days after tree felling at Ajni, no FIR filed yet ",Crime
 5 lakh names added to sex offenders database ,Crime
" 5 most wanted, 49 other criminals arrested during lockdown in Haryana ",Crime
 5 murders in 24 hours keep Bihar cops on toes ,Crime
 5 teens held in petrol pump robbery case ,Crime
" 5,049 deaths in jail in last 3 years ",Crime
 50% of police posts vacant in UP; national average at 24% ,Crime
 50% prisoners escaping from custody in country from Gujarat ,Crime
" 51 MPs, MLAs have declared crime cases against women: ADR ",Crime
 51% difference in road death numbers from 2 departments ,Crime
 546 Zero FIRs registered in Andhra Pradesh since Disha rape & murder in 2019 ,Crime
" 58,000 online frauds in a year, yet Maharashtra drags feet on national instant alert system ",Crime
" 59 China-linked apps banned by government including TikTok, SHAREit, WeChat, UC Browser: Complete list ",Crime
" 5922 held under UAPA in 2016-19, 132 convicted ",Crime
 5G- All you need to know,Non-Crime
 6 members of family booked for harassing woman for dowry,Crime
 6 myths around cryptocurrency trading busted ,Crime
 60% of India's honour killings in UP ,Crime
 7 charts that show how religion and politics influence each other ,Crime
 7 internet companies join hands to check online fraud ,Crime
 70 customers of Juhu bank lose Rs 20 lakh in six hours ,Crime
 70 customers of Juhu bank lose Rs 20 lakh in six hours ,Crime
 70% of foreign prisoners in India undertrials: Govt data ,Crime
" 70-year-old shot dead by bike-borne men in Delhi, realty rivalry suspected ",Crime
 '75% of people do not report crimes as cops are unfriendly' ,Crime
 78% of people who died in car accidents in Tamil Nadu didn’t wear seat belts ,Crime
 7-year old girl sexually abused by neighbour in Uttar Pradesh,Crime
 8 Indore doctors suspended for illegal trials ,Crime
 8 sent to jail for 10 years in fake currency case in Mumbai ,Crime
 8 sent to jail for 10 years in fake currency case in Mumbai ,Crime
 80 kg of banned marine substance Ambergris seized in Bengaluru ,Crime
" 83% of road fatalities due to speeding, rash driving: NCRB ",Crime
 89% crimes on Maharashtra railways last year were of theft: NCRB ,Crime
 8-year-old girl raped and strangled to death in UP's Mathura ,Crime
 9 things about the country most Indians get wrong ,Crime
" 9/11 not over for American Sikhs, hate crimes continue ",Crime
 92-year-old retired IAF officer cheated of Rs 6cr ,Crime
" 937 kg ganja, 1,250 litres liquor seized in Bihar's Bhojpur ",Crime
" 95% rise in communal clashes cases in 2020, arrests drop 14% ",Crime
 975kg of seized drugs worth ?5cr incinerated ,Crime
 98% rape cases in UP by somebody familiar: NCRB ,Crime
 A bobbitised godman and a constantly changing story ,Crime
 A peaceful gathering to protest crimes against women ,Crime
 A Police Station Where All Are Welcome Among India’s Top 10 ,Crime
 A real crime story gets staged in Lucknow ,Crime
 A toolkit for #MeToo survivors ,Crime
 Aadhaar-enabled gate to check Covid in Kerala ,Crime
 Aadi Saikumar has his hands full and will soon be seen in a pan-Indian project ,Crime
 AAP’s failed governance behind Delhi’s problems: Congress ,Crime
 Aasara pension scam: Cops want to quiz accused ,Crime
 'Aashram' to 'Mirzapur': 6 Best crime dramas that 2020 has to offer ,Crime
 Abortion upper limit raised: Why the change has not come a moment too soon ,Crime
 About 100 stolen antique idols are untraceable in Telangana ,Crime
 'Access to sexual content not to blame' ,Crime
" Accused known in 91% child sexual abuse cases in West Bengal, says report ",Crime
 Accused sent to crime branch custody again ,Crime
" Acting career unstuck, youths turn conmen ",Crime
" Activist questions delay in reports on crime, suicide rates ",Crime
 Activists and leaders demand severe punishment for accused in Vizag BTech girl murder case ,Crime
 Activists hail student for not deserting pet ,Crime
" Activists, Uyghurs protest in Paris to ensure Pakistan is placed on FATF blacklist ",Crime
" Activists, Uyghurs protest in Paris to ensure Pakistan is placed on FATF blacklist ",Crime
 Actor Anup Soni talks about his upcoming play ,Crime
" Actor Kaushik Sen, who raised voice against hate crimes, claims to have received death threat ",Crime
" Actress abducted, raped in car in south India, police say ",Crime
 'Adarsh scam classic example of how powerful elite gain from twisting laws' ,Crime
 'Adarsh scam classic example of how powerful elite gain from twisting laws' ,Crime
 Address matters on biological weapons convention through cooperation between parties concerned: India at UNSC ,Crime
 Advertise crime record in media: EC to candidates ,Crime
" Afghan man found dead in north Delhi’s Wazirabad, police probe enmity angle ",Crime
" Afghan national among 4 arrested, 354kg heroin worth over Rs 2,500 crore seized: Delhi Police ",Crime
 Afghan stabbing a hate crime: Foreign students ,Crime
 Afghan student stabbing: Panaji police arrest fourth accused ,Crime
 Afghanistan: India looks to play 'constructive' role in Doha for political outcome ,Crime
 African migrant caught in Surat for kidney racket ,Crime
 African racketeer stuns Surat cops with ‘Jay Mataji’ greeting ,Crime
" After ‘Kabir Singh’, director Sandeep Reddy Vanga to direct a crime drama? ",Crime
" After 58 years, AWBI shifts to Haryana ",Crime
" After Demonetization, biggest haul of fake Rs 2,000 notes in Gujarat ",Crime
" After J&K, Uttarakhand safest state for senior citizens in North India: NCRB report ",Crime
" After Mumbai, Hyderabad has highest stalking cases in India ",Crime
" After Pakistan, China also skips meet on Afghanistan hosted by India ",Crime
" After rape, Delhi gets tag of India's 'stalking capital' ",Crime
" After rape, probe team finds anomalies in Agra orphanage ",Crime
 Agra: 17-year-old girl found murdered ,Crime
" Agra: Fed up with dad’s abuse of women, man gets him arrested ",Crime
 Agriculture laws to help companies at the expense of farmers: Rajasthan Congress president Govind Singh Dotasra ,Crime
 AgustaWestland case: Businessman Anoop Gupta sent to 5 days ED remand ,Crime
" Ahead of FATF action on Pakistan, 6 terror launchpads under India's lens ",Crime
" Ahead of Independence Day, Delhi Police increases patrolling, anti-sabotage checks ",Crime
 Ahmedabad crime branch nabs two taking bets on India- New Zealand World Cup semi-final ,Crime
 Ahmedabad professor to consult NCW for preventing cyber crime against women ,Crime
 Ahmedabad recorded 16.5% rise in fatal accidents ,Crime
 Ahmedabad recorded 16.5% rise in fatal accidents ,Crime
 Ahmedabad records 45% rise in cyber crime: Report ,Crime
 Ahmedabad: ‘How dare you?’ Sisters scold cops in video call ,Crime
" Ahmedabad: ‘Husband tried to force me into wife-swapping, beat me’ ",Crime
 Ahmedabad: ‘Terror threat’ over business dispute ,Crime
 Ahmedabad: Cheating case for ‘ghost’ ATM withdrawals ,Crime
 Ahmedabad: Cops fail to slap triple talaq law on NRI’s mail ,Crime
 Ahmedabad: Crime Branch nabs a man with a pistol and live cartridges ,Crime
 Ahmedabad: Ex-boyfriend posts obscene pictures of woman on social media ,Crime
 Ahmedabad: Ex-boyfriend posts obscene pictures of woman on social media ,Crime
 Ahmedabad: Ex-EPFO officer duped of Rs 59 lakh ,Crime
 Ahmedabad: Five developers siphon off Rs 6 crore in housing scam ,Crime
 Ahmedabad: Five developers siphon off Rs 6 crore in housing scam ,Crime
 Ahmedabad: Foreign currencies worth 1 crore seized ,Crime
 Ahmedabad: Husband gives triple talaq using app ,Crime
 Ahmedabad: Jewellery replaced by Goddess Vaibhavi Laxmi’s image in locker ,Crime
 Ahmedabad: Man beats CA wife for not handing over her salary ,Crime
 Ahmedabad: Man held inside Narendra Modi Stadium accepting bets ,Crime
" Ahmedabad: Motorcyclist runs woman over, flees ",Crime
" Ahmedabad: She flew in on Cupid's arrow, shot down ",Crime
 Ahmedabad: Six held for taking bets on cricket ,Crime
 Ahmedabad: Trio kill youth for a mobile phone ,Crime
" Ahmedabad: With ‘UK lover’ hook, crook cons woman ",Crime
 Ahmedabad: Woman alleges NRI hubby had deprived her of sex ,Crime
 AIIMS doctor duped by two while shifting residence ,Crime
 AIIMS medical attendant arrested for fleeing with patient's money ,Crime
" AIIMS’ ex-director alleges favouritism, nepotism during recruitment, moves Delhi high court ",Crime
" AIIMS’ ex-director alleges favouritism, nepotism during recruitment, moves Delhi high court ",Crime
 Air India official who faced fake sexual harassment case suspended ,Crime
 Air India plane crash: PIL filed in Kerala HC to shut down operations; open COI demanded ,Crime
 Air India suspends officer who faced fake abuse case ,Crime
" Aircel-Maxis: Court grants 3-month to CBI, ED to complete probe against P Chidambaram, son ",Crime
 AIX Calicut crash: Was the damaged cockpit secured till investigators arrived? ,Crime
 Ajay Bhupathi and Bhumika Chawla take up the Green India Challenge ,Crime
" Akhilesh: Four years of zero governance, soaring crime ",Crime
 Alappuzha 4th in surfing child porn ,Crime
" Alarming rise in tiger, leopard deaths in country in first six months ",Crime
 Alert bank staff prevent swindlers from defrauding Andhra Pradesh govt of Rs 112 crore ,Crime
 Aligarh: AMU student shot at in broad-daylight by unknown assailants ,Crime
 All anti-state Maoist offensives in 2019 took place in Odisha ,Crime
 All set for in-person extradition hearing of Tahawwur Rana in LA ,Crime
" Amar Dubey killing: One SHO, STF constable injured in the exchange of fire ",Crime
 Amazon calls on India not to alter e-commerce investment rules: Sources ,Crime
 Ambala police inaction irks child committee ,Crime
" Americans advised to avoid all travels to India, Pakistan, Bangladesh, Afghanistan and Maldives ",Crime
 Amit Shah lauds policemen for role in fight against Covid-19 ,Crime
 Amit Shah nod to testing unit at JNIMS in Imphal ,Crime
" Amit Shah pitches for 'just action' by police, says they get defamed for 'no action' or 'extreme action' ",Crime
" Amit Shah targets Akhilesh Yadav on Kanpur raids, says A is 'apradh', C corruption for Samajwadi Party ",Crime
 Amitabh Bachchan wishes India gets rid of crimes like rape ,Crime
 Amitabh Bachchan’s former car driven by ‘Salman Khan’ seized by Karnataka transport dept ,Crime
 Amnesty International halts India operations citing government 'witch-hunt' ,Crime
 Amnesty International slams India in human rights report ,Crime
" Among 18 cities, Coimbatore and Chennai safest for women, kids ",Crime
 Amyra Dastur: Rape is becoming a consistent crime ,Crime
 Ananth Mahadevan's Mai Ghat: Crime No 103/2005 to be screened in Cannes ,Crime
 Ananth Mahadevan's Mai Ghat: Crime No 103/2005 to be screened in Cannes ,Crime
" Ananth Mahadevan's true-life story of Prabhavati Amma, Marathi film 'Mai Ghat: Crime No 103/2005' to premiere in Cannes ",Crime
 Ancient coins may solve mystery of murderous 1600s pirate ,Crime
 Ancient coins may solve mystery of murderous 1600s pirate ,Crime
 Andheri man held at airport with 4kg gold worth over 1 crore ,Crime
 Andhra Pradesh 8th in overall crime rate as per NCRB data ,Crime
 Andhra Pradesh accounts for 10% of all human trafficking crimes in India ,Crime
 Andhra Pradesh has highest no. of cops booked in India ,Crime
 Andhra Pradesh police inks pact with APSSDC and IIDT-Tirupati on day 2 of state police duty meet ,Crime
 Andhra Pradesh second after Maharashtra in human trafficking: Report ,Crime
 Andhra Pradesh stands first in family-pact suicide deaths in India: NCRB ,Crime
 Andhra Pradesh tops list in crimes against women in south India ,Crime
 Andhra Pradesh: 2020 saw 15% rise in number of untraced children ,Crime
 Andhra Pradesh: 54% of convicts have education below Class 10 ,Crime
 Andhra Pradesh: 54% of convicts have education below Class 10 ,Crime
" Andhra Pradesh: At 46% of all offences, Covid violations pull up crime rate ",Crime
 Andhra Pradesh: CBI books SBI staffer for gold loan fraud ,Crime
 Andhra Pradesh: Crime against children increases by five per cent ,Crime
 Andhra Pradesh: NCRB data reveals rise in number of first-time offenders ,Crime
" Andhra Pradesh: Non-cooperation by executive a problem, says CJI NV Ramana ",Crime
 Andhra Pradesh: Poachers leave behind 12 blackbuck heads in Kurnool ,Crime
 Andhra Pradesh: Varsity to probe assistant professor over sexual harassment charge ,Crime
 Andhra Pradesh’s fingerprint bureau running at half-strength ,Crime
 Andhra Pradesh’s recidivism rate 2nd highest in south India ,Crime
 Another African student assaulted in Greater Noida ,Crime
" Another case of CDM fraud in Bhopal, Rs 2.2 lakh stolen ",Crime
 Another complaint against Nowhera’s Heera Group ,Crime
" Antony Blinken: US, India must work against threats to democracy ",Crime
" Antony Blinken: US, India must work against threats to democracy ",Crime
 Anuja Chauhan's new book coming out in summer 2021 ,Crime
" Anuup Sonii shoots for Crime Patrol at India Gate, see pics ",Crime
" Anuup Sonii shoots for Crime Patrol at India Gate, see pics ",Crime
 Aparna Sen set for her next Hindi directorial ,Crime
" Apocalypse of hatred, bigotry, intolerance, untruth engulfing country: Sonia Gandhi ",Crime
 'Approachable' all-women PCR vans receive maximum stalking complaints ,Crime
 Are India’s lower courts on a killing spree? ,Crime
 Are we doing enough for children orphaned by Covid? ,Crime
 Arms dealer declared absconder ,Crime
 Arms haul case: Abdul Majid Kutty met Dawood’s men at Karachi party ,Crime
 Army exam paper leak: Arrested Lt Col sent to police custody till May 25 ,Crime
 Arnab paid BARC ex-CEO to rig Republic TRPs: Cops ,Crime
 Arrested IS men planned to kill CAA backers: Cops ,Crime
" Arunita praises Pawandeep on Indian Idol 12, says, 'I missed my partner in crime' ",Crime
" As fresh whistleblower leaks points to Facebook laxity in India, government promises action ",Crime
" As India keeps Sri Lanka on tenterhooks at UNHRC, President Gotabaya dials PM Modi ",Crime
" As kids grow, women find courage to leave abusive marriages ",Crime
" As kids grow, women find courage to leave abusive marriages ",Crime
" As PM Modi turns 70, a look at achievements and challenges ",Crime
" As women protest, cops block access to offices on BSZ Marg ",Crime
 Aseem Trivedi case is reason why sedition law needs to go ,Crime
" ASI restores Kali idol in Doddagaddavalli, villagers say no to puja ",Crime
 ASI to form special team to probe Monson case ,Crime
 'Ask me anything': Mehul Choksi gives open invitation to Indian authorities ,Crime
" Asked why sedition charge for provocative speeches, govt tells MP this is states' domain ",Crime
 Aspiring TV actress jumps off apartment terrace in Mumbai's Lokhandwala,Crime
 Assam Police releases images of culprits who brutally tortured girl ,Crime
 Assam: 43 arrested for anti-CAA violence in Dibrugarh ,Crime
 Assam: Activist seeks justice for 20 tribal women raped since 2012 ,Crime
 Assam: Activist seeks justice for 20 tribal women raped since 2012 ,Crime
" Assam: BA student dies in machete attack by estranged boyfriend, outrage across state ",Crime
 Assam's 'poor' show in SDG report draws flak from Congess ,Crime
" At 1 corruption case a day, Rajasthan ranks second after Maharashtra ",Crime
" At 106, Bengaluru topped revenge murders in 2019; Delhi second at 78 ",Crime
" At 2.8%, Karnataka conviction rate for crime against SCs lowest ",Crime
" At 29%, Delhi posts India’s most civilian injuries in cop action ",Crime
" At 744, West Bengal tops crimes by foreigners ",Crime
" At Trump impeachment trial, a British India precedent is cited to make the case ",Crime
" At UNSC open debate, India commits to international obligations on illicit arms trade ",Crime
" ATM cash theft case: Culprit arrested, Rs 90 lakh recovered in Hyderabad ",Crime
 ATM cloning gang busted in Azamgarh ,Crime
 ATM hackers nabbed from Haryana in joint operations ,Crime
 ATS arrests Myanmar native living in UP on fake papers for 19 years ,Crime
 ATS DIG Shukla to present India’s case at FATF ,Crime
 Attack on RSS worker: Bengaluru Police chief says ‘SDPI’ men had planned bigger conspiracy ,Crime
 Attari heroin seizure: Another accused held ,Crime
 Atul Kumar Anjan calls for oath to curb crime against women ,Crime
" Auditor fails to pay Rs 5 lakh penalty, fined Rs 2.5 lakh ",Crime
" Aurangabad crime branch busts betting racket, 7 held ",Crime
" Aurangabad crime branch busts betting racket, 7 held ",Crime
 Aurangabad: Unknown messaging app gives sleepless nights to cyber police ,Crime
 Average 77 rape cases daily in 2020; crimes against women down from 2019: NCRB data ,Crime
 Avg 381 suicides daily in India in 2019; 50 pc cases from just 5 states: NCRB ,Crime
 Awareness key to curb crime against women ,Crime
 Ayushmann Khurrana: Children who grow up seeing and experiencing violence often perpetuate violence ,Crime
" Baghpat suicide: FIR registered against 5 cops for abetment of suicide, rioting ",Crime
 Bail plea of Kanpur perfume trader Peeyush Jain turned down ,Crime
 Balwinder Singh’s murder: Second shooter held from Mumbai airport ,Crime
 Bangladesh national suspected of several thefts arrested from Bowbazar hotel in Kolkata ,Crime
" Bangladesh traffickers held in joint operation by Kolkata, Bengaluru police ",Crime
 Bangladeshi convicts in Bengal provide BJP fresh ammunition to raise NRC pitch ,Crime
 Bangladeshi criminal killed in encounter with Lucknow police ,Crime
 Bangladeshi man not in India at the time of crime to be sent back home ,Crime
 Bangladeshi woman gets year’s jail for illegal stay ,Crime
 Bangladeshi woman overstaying in Durg for 14 years booked ,Crime
 Bangladeshi woman without valid visa arrested at Minjur ,Crime
 Bank claims chief adviser flouted loan norms; FIR filed ,Crime
 Bank told to pay back Rs14 lakh lost to fraud ,Crime
 Banking frauds make for 50% of phishing cases in Maharashtra ,Crime
 Banks to constitute separate panel to tackle cyber crime ,Crime
 Barcelona to shine light on financial meltdown under former president Josep Bartomeu ,Crime
" Bareilly students visit the sets of a crime show, learn about different aspects of TV industry ",Crime
" Bareilly: 18-year-old rapes minor, sent to jail ",Crime
 Bareilly: Priest thrashed by hooligans for objecting to alcohol ,Crime
 Bareilly: School kid killed after ‘sodomy attempt’ ,Crime
 Bawana gang north India's largest crime network ,Crime
" BCI team arrives in Jammu, meets lawyers in Kathua ",Crime
" BCI team arrives in Jammu, meets lawyers in Kathua ",Crime
" Be on guard, fraudsters may cash in on virus fear: Kolkata Cops ",Crime
" Be on guard, fraudsters may cash in on virus fear: Kolkata Cops ",Crime
" Being falsely accused of rape can be devastating, but it’s far rarer than rape, Amia Srinivasan says ",Crime
 Bengal on top in crimes by foreigners in 2016: NCRB ,Crime
 Bengal: Delivery boy siphons off Rs 1 crore collected from customers ,Crime
 Bengaluru lockdown news: Today's updates ,Crime
 Bengaluru man arrested for uploading child porn video ,Crime
 Bengaluru Police files two chargesheets against gangster Ravi Pujari ,Crime
" Bengaluru saw 272 pedestrian deaths in 2019, highest in country: NCRB data ",Crime
 Bengaluru saw 47% of India’s cybercrimes in 2020 ,Crime
 Bengaluru violence: SDPI offices raided ,Crime
 Bengaluru: ‘Chief’ cocaine supplier held after 2-month chase ,Crime
 Bengaluru: 2 with drugs worth 1 crore land in custody ,Crime
 Bengaluru: Australian national beaten for misbehaving with women ,Crime
 Bengaluru: Bineesh Kodiyeri's custody extended till November 11 ,Crime
 Bengaluru: Conmen using banned notes to cheat duo held ,Crime
" Bengaluru: Couple, 4 associates palm off site using fake owner, documents ",Crime
" Bengaluru: Couple, 4 associates palm off site using fake owner, documents ",Crime
" Bengaluru: Delivery executive files complaint, cops book case against techie ",Crime
 Bengaluru: Insurer rebuked for tossing out claim for stolen mobile ,Crime
 Bengaluru: Ivorian arrested on drug peddling charge ,Crime
" Bengaluru: Man befriends businessman on Facebook, cheats him of Rs 18 lakh ",Crime
 Bengaluru: Nigerian cons woman looking for groom of Rs 25 lakh; arrested ,Crime
" Bengaluru: Police bust narcotics lab, Rs 2 cr worth drugs seized; African national held ",Crime
 Bengaluru: Smuggling kingpin who slipped in gold worth Rs 70 crore nabbed at KIA ,Crime
 Bengaluru: Smuggling kingpin who slipped in gold worth Rs 70 crore nabbed at KIA ,Crime
" Bengaluru: Son kills retired banker over property, affair ",Crime
" Bengaluru: Son kills retired banker over property, affair ",Crime
 Bengaluru: Three sandalwood trees stolen from SAI campus ,Crime
 Bengaluru: Two denied bail in cryptocurrency case ,Crime
 Bengaluru: Two foreigners who fled with SUVs from showroom land in custody ,Crime
 BEST WAY TO LOOT PASSENGERS ,Crime
