135	0	a	bleeding crores andhra pradesh top of chart for costliest scams
164	0	a	shaheen bagh drugs bust ncb arrests dry fruits trader with afghanistan links from delhi s chandni chowk
78	1	a	rajasthan cm ashok gehlot calls meeting of mlas sachin pilot still in delhi
50	1	a	whatsapp three red ticks will the government record your calls
149	1	a	jitendra singh bablu ousted from bjp days after induction
129	1	a	tom hardy praises mad max fury road co star charlize theron after she called out his bad behaviour on set
31	0	a	ut firm to pay rs lakh for unfair trade practices
195	0	a	made in india covid vaccines playing important role in making world pandemic free says president key highlights from budget session
193	0	a	fact check photos of seized counterfeit currency shared claiming it was retrieved from a temple
53	1	a	britney spears confirms writing a new memoir in instagram post deletes later
176	0	a	explained what is israeli spyware pegasus which carried out surveillance via whatsapp
89	1	a	your daily wrap pm narendra modi s europe visit new case against mehul choksi and more
156	0	a	did foreign ipl stars and bookies honey trap kpl players
101	1	a	politics of shiv sena factions in punjab amid old faultlines
102	1	a	gmail is now greatmail gop member fumes after google company sends mail straight to spam internet has a field day
196	0	a	hundreds duped by men who ran fake pradhan mantri mudra yojana website
182	1	a	grammy awards tribute paid to taylor hawkins lata mangeshkar bappi lahiri left out from in memoriam
140	1	a	hrithik roshan grabs rumoured girlfriend saba azad s hand as he walks out of a cafe with her fans call him cute
79	1	a	won t join any party but will continue to work as mp babul supriyo after meeting jp nadda
154	1	a	prabhas on radhe shyam tv premiere it s meant to give families a good time
121	0	a	congress targets govt over rs cr loan default case what took cbi years to lodge fir
152	1	a	why reforming the system of free food is necessary
13	1	a	apple will let dating apps in the netherlands use third party in app payments
160	0	a	brothers win property case builder asked to refund rs lakh
96	0	a	in india suicide peaks in young people
17	0	a	russia ukraine conflict top developments today
87	0	a	busted luxe cars imported in diplomats names held
158	1	a	export potential of half trillion dollars in clean energy ambani
175	0	a	india reported one suicide every hour due to joblessness poverty or bankruptcy in
132	1	a	imran khan is unrecognisable as he celebrates eid with ira khan her boyfriend nupur shikhare
46	1	a	gta trilogy the definitive edition set to release on nov here s what you need to know
56	0	a	marital rape may soon be a crime in india
11	1	a	watchos for apple watch unveiled at wwdc here s what it offers
19	0	a	indigo airline executive shot dead outside his house in patna
5	1	a	ram naresh yadav th up cm controversial ex mp governor
8	0	a	telangana man pretending to be sadhu rapes minor thrashed by locals
167	0	a	pune man kills wife for keeping tv on through the night
43	1	a	the boys season trailer amazon s best show gets even more diabolical as butcher gets superpowers watch
159	1	a	dizo wireless dash neckband is set to launch on may here is all you need to know
24	1	a	ss rajamouli shows no empathy while on sets complaints jr ntr and ram charan
162	1	a	do you call yourself a movie buff take this quiz and prove yourself
163	0	a	karnataka cyber experts worried about fake legal notices doing rounds
166	1	a	amid deocha pachami stir mamata hikes land compensation
133	1	a	four years after rationalisation haryana ex mlas continue to draw hefty pension
168	0	a	bhadohi year old girl stabbed on face strangled to death
125	1	a	robert downey jr says before choosing i am iron man he tried other options they were all super smart a lines
95	0	a	telangana star hotel promoters booked by cbi for rs crore loan fraud
169	0	a	woman teacher shot dead by colleague at up school
4	0	a	army recruitment exam cancelled after paper leak three arrested in pune
131	0	a	crime against transgenders sc admits plea issues notice to centre
179	1	a	sean penn looks haggard while describing his experience in ukraine says he was endlessly impressed by president volodymyr zelenskyy s courage
7	1	a	sidharth malhotra joins rohit shetty s cop universe unveils his first look
198	1	a	samsung india widens bank offers on galaxy z series foldable smartphones
148	0	a	pune trio rob finance firm of rs crore gold at gunpoint
194	1	a	we will not allow bjp to return to power in maharashtra in sanjay raut
59	0	a	maharashtra girl gangraped friend beaten up by at isolated place
36	1	a	indian idol fame sayli kamble ties the knot with boyfriend dhawal pics
38	0	a	daily briefing months after political crisis gehlot govt admits to phone taps west bengal cpm list unveiled
134	0	a	andhra couple who killed daughters arrested mother continues to be unstable
180	1	a	substack s growth spurt brings growing pains
16	1	a	hemant soren set to return as jharkhand chief minister to take oath on december
3	0	a	woman fed liquor gangraped in front of yr old son five including husband nabbed
145	1	a	zoom announces new features to enhance user experience
186	0	a	daily briefing nfhs findings show drop in fertility rate ex cm sangma among congress mlas set to join tmc in meghalaya
122	0	a	crime grp seizes rs lakh from bhopal railway station
67	1	a	ram charan jr ntr and stakes of rajamouli s rrr a look at box office reports of their last films
23	0	a	heroin worth rs crore seized in amritsar held
165	1	a	samsung galaxy f with mah battery launched in india check price specifications
105	0	a	karnataka brother of arrested psi scam accused hangs self cid starts probe
51	0	a	up year old dalit girl set ablaze by jilted lover in ballia
183	0	a	police brutality against vulnerable demands a george floyd moment in india
147	1	a	india unlikely to follow american advice on russia says us diplomacy firm
143	1	a	airtel and the tale of working from two cities
27	1	a	aoc gaming g series monitor with hz refresh rate launched in india price features
187	0	a	exercise increased caution while travelling to india says new us travel advisory
45	0	a	why is ncb pursuing the drug user
136	0	a	pune cyber fraud cases during online shopping jump by over times in two years
85	0	a	covid helps nri facing trial in gujarat stay put in uk
42	0	a	jaipur girl raped by uncle in sleeper bus case registered
66	0	a	delhi police inspector shoots himself dead at his residence in rohini
63	0	a	india reaches out to allies in europe for medical aid to fight pandemic
